"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2007","2007",15.3567,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2008","2008",14.83026,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2009","2009",14.94417,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2010","2010",15.10334,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","DNK","Denmark","2011","2011",15.03621,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2000","2000",15.89018,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2001","2001",17.68298,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2002","2002",17.93601,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2003","2003",15.76285,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2004","2004",12.96052,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2005","2005",18.03287,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2006","2006",15.32419,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2007","2007",18.04436,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2008","2008",16.25801,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2009","2009",22.5854,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2011","2011",19.7794,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDG","Madagascar","2012","2012",20.32568,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2000","2000",8.18758,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2001","2001",9.84882,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2002","2002",10.92235,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2003","2003",11.13906,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2004","2004",9.84331,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2005","2005",10.83668,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2007","2007",12.00496,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2009","2009",11.02129,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2010","2010",9.12913,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2011","2011",8.33493,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ROU","Romania","2012","2012",8.43579,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","UGA","Uganda","2000","2000",10.35489,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","UGA","Uganda","2004","2004",20.30833,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","UGA","Uganda","2009","2009",13.85372,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","UGA","Uganda","2010","2010",9.38318,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","UGA","Uganda","2011","2011",12.07702,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","UGA","Uganda","2012","2012",12.60984,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","VEN","Venezuela (Bolivarian Republic of)","2006","2006",9.344,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","VEN","Venezuela (Bolivarian Republic of)","2007","2007",10.09005,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","VEN","Venezuela (Bolivarian Republic of)","2009","2009",20.66358,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KAZ","Kazakhstan","2002","2002",14.75948,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KAZ","Kazakhstan","2004","2004",10.26694,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KAZ","Kazakhstan","2005","2005",10.22782,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KAZ","Kazakhstan","2006","2006",13.26734,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KAZ","Kazakhstan","2007","2007",11.94463,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KAZ","Kazakhstan","2008","2008",13.64712,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KAZ","Kazakhstan","2009","2009",13.0409,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2000","2000",10.26199,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2001","2001",11.1588,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2002","2002",11.50504,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2003","2003",10.80686,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2004","2004",10.19194,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2006","2006",9.77717,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2007","2007",9.88639,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2008","2008",10.37558,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2009","2009",9.15413,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2010","2010",8.29944,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2011","2011",8.95797,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","LVA","Latvia","2012","2012",8.73077,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","HRV","Croatia","2002","2002",7.96833,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","HRV","Croatia","2003","2003",8.27336,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","HRV","Croatia","2004","2004",8.19198,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","HRV","Croatia","2007","2007",8.88328,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","HRV","Croatia","2008","2008",9.62946,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","HRV","Croatia","2009","2009",9.30367,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","HRV","Croatia","2010","2010",9.08259,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","HRV","Croatia","2011","2011",8.57615,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2000","2000",13.97806,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2001","2001",17.25794,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2002","2002",15.91701,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2003","2003",15.66595,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2004","2004",15.38793,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2005","2005",15.39544,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2007","2007",15.21563,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2008","2008",13.42763,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2009","2009",13.84276,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2010","2010",15.56024,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","BRB","Barbados","2012","2012",13.68958,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2002","2002",21.2399,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2003","2003",20.3462,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2004","2004",19.47924,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2005","2005",13.01498,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2006","2006",13.34758,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2007","2007",12.74641,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2008","2008",12.61971,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2009","2009",17.5128,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2011","2011",17.67886,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MDV","Maldives","2012","2012",15.29215,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2000","2000",20.63385,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2001","2001",24.42417,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2002","2002",26.33352,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2003","2003",21.65296,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2004","2004",21.47405,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2005","2005",22.32196,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2006","2006",19.34813,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2007","2007",19.87443,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2008","2008",20.57943,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2009","2009",18.02354,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2010","2010",18.80435,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2011","2011",19.1267,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","IRN","Iran (Islamic Republic of)","2012","2012",17.03431,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SYR","Syrian Arab Republic","2001","2001",15.66206,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SYR","Syrian Arab Republic","2002","2002",16.82607,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SYR","Syrian Arab Republic","2003","2003",19.8554,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SYR","Syrian Arab Republic","2004","2004",17.1454,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SYR","Syrian Arab Republic","2006","2006",20.04848,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SYR","Syrian Arab Republic","2007","2007",18.92593,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SYR","Syrian Arab Republic","2008","2008",20.04079,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SYR","Syrian Arab Republic","2009","2009",19.18405,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2000","2000",19.11359,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2001","2001",21.61894,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2002","2002",20.42635,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2003","2003",21.30218,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2004","2004",21.60618,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2005","2005",22.27689,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2006","2006",25.48504,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2007","2007",21.12867,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2008","2008",22.11482,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2009","2009",19.84753,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NPL","Nepal","2010","2010",20.81352,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2001","2001",18.2456,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2002","2002",18.31226,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2003","2003",18.29794,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2004","2004",18.56677,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2005","2005",17.75142,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2006","2006",16.55642,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2007","2007",16.36142,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2008","2008",15.37095,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2009","2009",16.75341,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2010","2010",16.64842,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2011","2011",16.67924,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NZL","New Zealand","2012","2012",19.35049,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2000","2000",14.31736,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2001","2001",11.97105,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2002","2002",11.51012,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2003","2003",15.91087,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2004","2004",16.21239,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2005","2005",15.82166,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2006","2006",14.13833,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2007","2007",12.74995,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2008","2008",11.95525,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2009","2009",11.64793,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2010","2010",14.57315,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2011","2011",13.84617,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MUS","Mauritius","2012","2012",14.96062,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2000","2000",13.00554,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2001","2001",12.93972,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2002","2002",13.24319,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2003","2003",12.95974,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2004","2004",13.08087,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2005","2005",12.78735,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2006","2006",12.79996,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2007","2007",12.86494,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2008","2008",13.0583,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2009","2009",13.21638,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2010","2010",13.34556,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2011","2011",13.24639,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","SWE","Sweden","2012","2012",15.2498,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","URY","Uruguay","2000","2000",8.31884,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","URY","Uruguay","2001","2001",9.1999,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","URY","Uruguay","2002","2002",7.71913,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","URY","Uruguay","2003","2003",6.8295,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","URY","Uruguay","2004","2004",8.42054,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","URY","Uruguay","2005","2005",9.46483,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","URY","Uruguay","2006","2006",9.89818,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","URY","Uruguay","2011","2011",14.92589,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2001","2001",20.47205,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2002","2002",20.0957,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2003","2003",19.5923,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2004","2004",19.93463,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2005","2005",19.92499,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2006","2006",19.68185,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2007","2007",18.38215,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2008","2008",17.90631,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2009","2009",18.30626,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2010","2010",18.04437,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2011","2011",18.92162,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ZAF","South Africa","2012","2012",20.62222,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2000","2000",11.68372,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2001","2001",15.48909,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2003","2003",21.442,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2004","2004",20.84713,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2005","2005",21.37754,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2006","2006",20.31262,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2007","2007",21.56826,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2008","2008",15.58866,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2009","2009",19.77975,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2010","2010",18.75391,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2011","2011",14.86779,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","CMR","Cameroon","2012","2012",15.17625,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","EGY","Egypt","2003","2003",14.04387,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","EGY","Egypt","2004","2004",13.79283,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","EGY","Egypt","2005","2005",14.42145,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","EGY","Egypt","2006","2006",10.59623,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","EGY","Egypt","2007","2007",10.44791,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","EGY","Egypt","2008","2008",10.44253,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ARM","Armenia","2005","2005",13.64809,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ARM","Armenia","2006","2006",13.57852,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ARM","Armenia","2007","2007",13.46559,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ARM","Armenia","2008","2008",14.26845,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ARM","Armenia","2009","2009",13.45122,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ARM","Armenia","2010","2010",12.40051,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ARM","Armenia","2011","2011",12.59334,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","ARM","Armenia","2012","2012",13.70187,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","PLW","Palau","2000","2000",13.80012,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","PLW","Palau","2001","2001",15.1165,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","PLW","Palau","2002","2002",15.34344,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KWT","Kuwait","2001","2001",17.63889,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KWT","Kuwait","2002","2002",14.96518,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KWT","Kuwait","2004","2004",14.95361,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KWT","Kuwait","2005","2005",13.85411,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","KWT","Kuwait","2006","2006",13.37001,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MHL","Marshall Islands","2002","2002",14.8142,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","MHL","Marshall Islands","2003","2003",22.50875,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NIC","Nicaragua","2000","2000",14.5737,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NIC","Nicaragua","2002","2002",15.68779,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NIC","Nicaragua","2003","2003",14.887,"‡","UIS Estimation"
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","NIC","Nicaragua","2010","2010",22.75367,,
"XGOVEXP_IMF","Expenditure on education as % of total government expenditure (%)","TZA","United Republic of Tanzania","2004","2004",19.49264,,
